reactants,products,reaction_type
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(C)O,CC(C)=O,oxidation
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(C)O,CC(C)=O,oxidation
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(C)O,CC(C)=O,oxidation
CC(C)O,CC(C)=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC=O,CCCO,reduction
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCCO,CCC=O,oxidation
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CC(=O)C,CC(O)C,reduction
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCO,CC=O,oxidation
CCCO,CCC=O,oxidation
CC(=O)C,CC(O)C,reduction
CCC=O,CCCO,reduction
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)C,CC(O)C,reduction
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC=O,CCO,reduction
CCC=O,CCCO,reduction
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC=O,CCO,reduction
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCCO,CCC=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CC(=O)C,CC(O)C,reduction
CC(C)O,CC(C)=O,oxidation
CCC=O,CCCO,reduction
CCC=O,CCCO,reduction
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC=O,CCO,reduction
CCC=O,CCCO,reduction
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCCO,CCCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)C,CC(O)C,reduction
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CC(C)O,CC(C)=O,oxidation
CCCO,CCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)C,CC(O)C,reduction
CC(=O)C,CC(O)C,reduction
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(C)O,CC(C)=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC=O,CCCO,reduction
CC(C)O,CC(C)=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCCO,CCC=O,oxidation
CCC=O,CCCO,reduction
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCCCO,CCCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CCCO,CCC=O,oxidation
CC(=O)C,CC(O)C,reduction
CCO,CC=O,oxidation
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCO,CC=O,oxidation
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC=O,CCO,reduction
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCO,CC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCO,CC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCCO,CCCC=O,oxidation
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCCO,CCC=O,oxidation
CCC=O,CCCO,reduction
CC(C)O,CC(C)=O,oxidation
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCC=O,CCCO,reduction
CC(C)O,CC(C)=O,oxidation
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CCO,CC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCCCO,CCCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)C,CC(O)C,reduction
CC=O,CCO,reduction
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CC(=O)C,CC(O)C,reduction
CCCCO,CCCC=O,oxidation
CCO,CC=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CCCCO,CCCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)C,CC(O)C,reduction
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCCCO,CCCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC=O,CCO,reduction
CCO,CC=O,oxidation
CCCCO,CCCC=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCCO,CCC=O,oxidation
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CCCCO,CCCC=O,oxidation
CCCO,CCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(C)O,CC(C)=O,oxidation
CCCCO,CCCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCC=O,CCCO,reduction
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCCO,CCC=O,oxidation
CCO,CC=O,oxidation
CCO,CC=O,oxidation
CC(=O)C,CC(O)C,reduction
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)C,CC(O)C,reduction
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC=O,CCCO,reduction
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCCCO,CCCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)C,CC(O)C,reduction
CCO,CC=O,oxidation
CCCO,CCC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CC(=O)C,CC(O)C,reduction
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCCO,CCCC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CCO,CC=O,oxidation
CCCCO,CCCC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC=O,CCO,reduction
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCO,CC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCCO,CCCC=O,oxidation
CC=O,CCO,reduction
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)C,CC(O)C,reduction
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCCCO,CCCC=O,oxidation
CCC=O,CCCO,reduction
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)C,CC(O)C,reduction
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC=O,CCCO,reduction
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCO,CC=O,oxidation
CCO,CC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CCC=O,CCCO,reduction
CCCCO,CCCC=O,oxidation
CC=O,CCO,reduction
CC(=O)C,CC(O)C,reduction
CCC=O,CCCO,reduction
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCC=O,CCCO,reduction
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CCCCO,CCCC=O,oxidation
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCO,CC=O,oxidation
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CCO,CC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CCO,CC=O,oxidation
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCCCO,CCCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)C,CC(O)C,reduction
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCCO,CCC=O,oxidation
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CCO,CC=O,oxidation
CCCO,CCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CC(C)O,CC(C)=O,oxidation
CCCO,CCC=O,oxidation
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(C)O,CC(C)=O,oxidation
CCO,CC=O,oxidation
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCC=O,CCCO,reduction
CCC=O,CCCO,reduction
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCCO,CCCC=O,oxidation
CCC(=O)O.CCCCO,CCC(=OCCCC)OCCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CCCCO,CCCC=O,oxidation
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCCO,CCC=O,oxidation
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CCO,CC=O,oxidation
CCC=O,CCCO,reduction
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CCC(=O)O.CCO,CCC(=OCC)OCC,esterification
CC(=O)C,CC(O)C,reduction
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(C)O,CC(C)=O,oxidation
CCCO,CCC=O,oxidation
CCCCO,CCCC=O,oxidation
CCC=O,CCCO,reduction
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CC(C)O,CC(C)=O,oxidation
CCC=O,CCCO,reduction
CCCCO,CCCC=O,oxidation
CC=O,CCO,reduction
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CCCO,CCC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CCCCO,CC(=OCCCC)OCCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(=O)O.CCO,CC(=OCC)OCC,esterification
CC(=O)O.CC(C)O,CC(=OCC(C))OCC(C),esterification
CCCO,CCC=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CC(=O)C,CC(O)C,reduction
CCC=O,CCCO,reduction
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCCCO,CCCC=O,oxidation
CC=O,CCO,reduction
CCO,CC=O,oxidation
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CC(C)O,CC(C)=O,oxidation
CCC=O,CCCO,reduction
CC(=O)C,CC(O)C,reduction
CCCCO,CCCC=O,oxidation
CCC(=O)O.CCCO,CCC(=OCCC)OCCC,esterification
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC(=O)O.CC(C)O,CCC(=OCC(C))OCC(C),esterification
CC(C)O,CC(C)=O,oxidation
CC(=O)O.CCCO,CC(=OCCC)OCCC,esterification
CCC=O,CCCO,reduction
